Strain,C20n:5,C15iso,C17iso,C18,C18:1,C14,C15_C20n5,C15_C18
N2,3.01E+09,2.00E+08,2.20E+08,1.08E+09,3.97E+09,1.21E+08,6.65E-02,1.85E-01
N2,2.81E+09,1.97E+08,2.37E+08,1.04E+09,4.10E+09,1.21E+08,7.01E-02,1.90E-01
N2,2.62E+09,1.76E+08,2.08E+08,9.18E+08,3.74E+09,1.15E+08,6.71E-02,1.91E-01
CB4856,8.58E+08,4.37E+07,5.69E+07,2.47E+08,4.83E+08,6.05E+07,5.10E-02,1.77E-01
CB4856,9.99E+08,5.09E+07,6.49E+07,2.47E+08,5.16E+08,3.85E+07,5.10E-02,2.06E-01
CB4856,1.42E+09,6.87E+07,9.64E+07,2.79E+08,8.06E+08,4.15E+07,4.85E-02,2.46E-01
ECA581,3.25E+09,2.00E+08,2.13E+08,9.56E+08,3.72E+09,1.20E+08,6.16E-02,2.09E-01
ECA581,2.98E+09,1.62E+08,1.69E+08,9.22E+08,3.68E+09,1.18E+08,5.45E-02,1.76E-01
ECA581,2.49E+09,1.68E+08,1.51E+08,9.02E+08,3.19E+09,1.17E+08,6.74E-02,1.86E-01
ECA590,8.11E+08,4.39E+07,6.73E+07,3.13E+08,4.68E+08,5.36E+07,5.42E-02,1.41E-01
ECA590,8.67E+08,3.88E+07,6.09E+07,2.52E+08,4.83E+08,3.92E+07,4.47E-02,1.54E-01
ECA590,9.14E+08,4.06E+07,6.08E+07,2.53E+08,4.75E+08,3.69E+07,4.44E-02,1.61E-01
N2,2.58E+09,3.48E+08,5.38E+08,5.82E+08,3.81E+09,6.76E+07,1.35E-01,5.98E-01
N2,2.79E+09,3.24E+08,5.21E+08,6.47E+08,3.38E+09,6.99E+07,1.16E-01,5.01E-01
N2,2.60E+09,3.12E+08,5.52E+08,6.24E+08,4.17E+09,6.52E+07,1.20E-01,5.01E-01
CB4856,1.81E+08,2.33E+07,4.17E+07,2.87E+08,2.88E+08,3.71E+07,1.29E-01,8.09E-02
CB4856,1.87E+08,2.12E+07,3.59E+07,2.53E+08,2.34E+08,3.57E+07,1.13E-01,8.35E-02
CB4856,1.63E+08,2.04E+07,3.77E+07,2.91E+08,2.72E+08,3.90E+07,1.25E-01,7.00E-02
ECA590,1.77E+08,2.48E+07,4.23E+07,2.86E+08,2.72E+08,4.13E+07,1.40E-01,8.67E-02
ECA590,1.48E+08,2.60E+07,4.35E+07,2.99E+08,3.05E+08,3.93E+07,1.76E-01,8.70E-02
ECA590,1.60E+08,2.32E+07,4.65E+07,3.49E+08,3.00E+08,4.03E+07,1.45E-01,6.64E-02
ECA581,1.68E+09,1.86E+08,2.60E+08,4.63E+08,2.44E+09,5.36E+07,1.10E-01,4.02E-01
ECA581,1.62E+09,1.95E+08,2.97E+08,5.07E+08,2.67E+09,5.45E+07,1.20E-01,3.85E-01
ECA581,2.13E+09,3.32E+08,6.19E+08,6.29E+08,3.54E+09,8.14E+07,1.56E-01,5.28E-01