Strain,Condition,Replicate,C15_branched,C15n,15_ratio,C17iso,C17n,17_ratio
N2,Water,1A,23385721,78566323,0.297655790764193,31096995,32252405,0.964176004859173
N2,Water,2A,19532077,81160402,0.240660180564409,22089464,30243160,0.730395368737923
N2,Water,3A,17711623,86757743,0.204150343099636,22562038,32326738,0.697937354520583
N2,Arsenic,1A,20547709,85809570,0.239457079204569,24442106,31549117,0.774731856996188
N2,Arsenic,2A,17347937,87374011,0.198548021333254,18592525,29810886,0.623682402461973
N2,Arsenic,3A,18462348,83078746,0.222227090428158,20978276,29018847,0.72291900501767
ECA581,Water,1A,17725007,91796234,0.193090786273433,22722786,31708681,0.716610886463552
ECA581,Water,2A,17466085,89176863,0.195858930359549,21126040,31145739,0.678296315268037
ECA581,Water,3A,16556846,86502694,0.191402663135555,18224246,29063072,0.627058488517663
ECA581,Arsenic,1A,17328500,87131985,0.198876451626805,20338590,29814968,0.682160383334975
ECA581,Arsenic,2A,15189859,80416816,0.188889087575912,17046569,25992836,0.655817972305908
ECA581,Arsenic,3A,17364212,82539909,0.210373529730933,16946981,26024147,0.65120217004615
N2,Water,1B,16778081,70910868,0.236608033059192,25594884,24407150,1.04866336298994
N2,Water,2B,16256718,77777992,0.209014370028992,29720103,32960653,0.901684290053355
N2,Arsenic,1B,15553152,94416664,0.16472888726507,19951353,36102952,0.552623868541276
N2,Water,3B,16990112,72941120,0.232929135170943,23381215,25698676,0.909821774475852
N2,Arsenic,2B,15083984,83914253,0.179754731296959,18779013,31329706,0.599399592195343
N2,Arsenic,3B,13697811,80475081,0.170211832405611,17967094,27407649,0.655550353844651
ECA581,Water,2B,13456316,71248193,0.188865365329335,18675256,28220904,0.661752578868487
ECA581,Water,3B,13503961,73806388,0.182964664251013,16479518,29286905,0.562692370532154
ECA581,Water,4A,13848856,56183310,0.246494127882462,17216097,23079420,0.745950158192884
ECA581,Water,4B,12504025,49037129,0.254990968170261,14031927,19652816,0.713990656606158
ECA581,Arsenic,2B,11861763,75722550,0.156647696095813,20386508,26619422,0.765850888873545
ECA581,Arsenic,3B,12808075,82403397,0.155431395625595,17976850,31344484,0.573525153580451
ECA581,Arsenic,4A,15125285,56133217,0.269453379092811,16051765,19238409,0.834360315346243
ECA581,Arsenic,4B,13407536,55731347,0.240574411381085,15733224,19236147,0.817898927472326