strain,condition,dose_ÂµM,trait,phenotype,Broad_sense_heritability
N2,Amsacrine,100,q75.TOF,-173.840909090909,0.539685279872395
JU258,Amsacrine,0,q75.TOF,67.3125,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-64.4375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-56.1875,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-173.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-201.9375,0.539685279872395
DL238,Amsacrine,0,q75.TOF,31.9318181818182,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,-39.5681818181818,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-58.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-75.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-75.0681818181818,0.539685279872395
N2,Amsacrine,0,q75.TOF,103.159090909091,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,28.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-58.8409090909091,0.191585438255204
N2,Amsacrine,50,q75.TOF,-127.340909090909,0.465490738283857
N2,Amsacrine,100,q75.TOF,-164.840909090909,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,-10.3958333333333,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,-4.39583333333331,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-55.6458333333333,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-96.3958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-168.645833333333,0.539685279872395
N2,Amsacrine,0,q75.TOF,92.6590909090909,1.52089533533071e-32
N2,Amsacrine,125,q75.TOF,-151.840909090909,0.0931654462280269
N2,Amsacrine,250,q75.TOF,-204.840909090909,0.78420763164208
JU258,Amsacrine,0,q75.TOF,-208.9375,1.52089533533071e-32
JU258,Amsacrine,125,q75.TOF,-214.9375,0.0931654462280269
CB4856,Amsacrine,0,q75.TOF,110.604166666667,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-193.395833333333,0.0931654462280269
CB4856,Amsacrine,250,q75.TOF,-181.645833333333,0.78420763164208
DL238,Amsacrine,125,q75.TOF,-208.068181818182,0.0931654462280269
CB4856,Amsacrine,0,q75.TOF,48.8541666666667,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-120.895833333333,0.0931654462280269
CB4856,Amsacrine,250,q75.TOF,-168.145833333333,0.78420763164208
N2,Amsacrine,0,q75.TOF,-213.840909090909,1.52089533533071e-32
N2,Amsacrine,125,q75.TOF,-198.840909090909,0.0931654462280269
DL238,Amsacrine,0,q75.TOF,-21.0681818181818,1.52089533533071e-32
JU258,Amsacrine,0,q75.TOF,-210.6875,1.52089533533071e-32
JU258,Amsacrine,125,q75.TOF,-192.9375,0.0931654462280269
DL238,Amsacrine,0,q75.TOF,38.9318181818182,1.52089533533071e-32
DL238,Amsacrine,125,q75.TOF,-98.0681818181818,0.0931654462280269
DL238,Amsacrine,250,q75.TOF,-126.818181818182,0.78420763164208
CB4856,Amsacrine,0,q75.TOF,-140.395833333333,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-137.895833333333,0.0931654462280269
JU258,Amsacrine,0,q75.TOF,78.0625,1.52089533533071e-32
JU258,Amsacrine,125,q75.TOF,-177.9375,0.0931654462280269
JU258,Amsacrine,250,q75.TOF,-190.1875,0.78420763164208
N2,Amsacrine,0,q75.TOF,-175.590909090909,1.52089533533071e-32
JU258,Amsacrine,0,q75.TOF,-22.6875,1.52089533533071e-32
JU258,Amsacrine,125,q75.TOF,-176.9375,0.0931654462280269
JU258,Amsacrine,250,q75.TOF,-181.4375,0.78420763164208
DL238,Amsacrine,0,q75.TOF,-76.5681818181818,1.52089533533071e-32
DL238,Amsacrine,125,q75.TOF,-98.5681818181818,0.0931654462280269
N2,Amsacrine,0,q75.TOF,-24.8409090909091,1.52089533533071e-32
N2,Amsacrine,125,q75.TOF,-131.340909090909,0.0931654462280269
N2,Amsacrine,250,q75.TOF,-177.090909090909,0.78420763164208
CB4856,Amsacrine,0,q75.TOF,-159.395833333333,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-165.895833333333,0.0931654462280269
N2,Etoposide,0,q75.TOF,-30.3666666666667,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,23.1333333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,-29.1166666666667,0
N2,Etoposide,125,q75.TOF,-5.11666666666667,0.304381766046181
N2,Etoposide,250,q75.TOF,-54.1166666666667,0.615354748540869
JU258,Etoposide,0,q75.TOF,-27.140625,1.04248603569343e-33
JU258,Etoposide,62,q75.TOF,44.109375,0
JU258,Etoposide,125,q75.TOF,-47.140625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-57.640625,0.615354748540869
CB4856,Etoposide,0,q75.TOF,79.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,125.6875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,82.9375,0
CB4856,Etoposide,125,q75.TOF,-71.3125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-187.3125,0.615354748540869
DL238,Etoposide,0,q75.TOF,46.28125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,4.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,-7.71875,0
DL238,Etoposide,125,q75.TOF,13.28125,0.304381766046181
DL238,Etoposide,250,q75.TOF,-78.96875,0.615354748540869
CB4856,Etoposide,0,q75.TOF,94.1875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,80.9375,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,-88.8125,0
CB4856,Etoposide,125,q75.TOF,-13.0625,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-248.3125,0.615354748540869
N2,Etoposide,31,q75.TOF,69.6333333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,60.8833333333333,0
N2,Etoposide,125,q75.TOF,85.6333333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,3.88333333333333,0.615354748540869
DL238,Etoposide,0,q75.TOF,22.53125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,156.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,40.03125,0
DL238,Etoposide,125,q75.TOF,30.53125,0.304381766046181
DL238,Etoposide,250,q75.TOF,-67.21875,0.615354748540869
JU258,Etoposide,0,q75.TOF,19.109375,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,85.859375,0.0525360298460579
JU258,Etoposide,62,q75.TOF,68.859375,0
JU258,Etoposide,125,q75.TOF,102.359375,0.304381766046181
JU258,Etoposide,250,q75.TOF,-47.640625,0.615354748540869
DL238,Etoposide,0,q75.TOF,89.53125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,31.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,51.28125,0
DL238,Etoposide,250,q75.TOF,-36.71875,0.615354748540869
CB4856,Etoposide,0,q75.TOF,86.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,77.4375,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,-5.3125,0
CB4856,Etoposide,125,q75.TOF,-78.3125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-190.8125,0.615354748540869
JU258,Etoposide,0,q75.TOF,81.359375,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,4.359375,0.0525360298460579
JU258,Etoposide,125,q75.TOF,-140.890625,0.304381766046181
JU258,Etoposide,250,q75.TOF,-21.640625,0.615354748540869
N2,Etoposide,0,q75.TOF,114.633333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,104.383333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,19.8833333333333,0
N2,Etoposide,125,q75.TOF,72.8833333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,-30.6166666666667,0.615354748540869
JU258,Etoposide,0,q75.TOF,82.859375,1.04248603569343e-33
JU258,Etoposide,31,q75.TOF,39.359375,0.0525360298460579
JU258,Etoposide,62,q75.TOF,-10.640625,0
JU258,Etoposide,125,q75.TOF,2.609375,0.304381766046181
DL238,Etoposide,0,q75.TOF,107.28125,1.04248603569343e-33
DL238,Etoposide,31,q75.TOF,59.28125,0.0525360298460579
DL238,Etoposide,62,q75.TOF,25.53125,0
DL238,Etoposide,125,q75.TOF,-50.71875,0.304381766046181
DL238,Etoposide,250,q75.TOF,-70.21875,0.615354748540869
N2,Etoposide,0,q75.TOF,94.6333333333333,1.04248603569343e-33
N2,Etoposide,31,q75.TOF,86.8833333333333,0.0525360298460579
N2,Etoposide,62,q75.TOF,76.8833333333333,0
N2,Etoposide,125,q75.TOF,31.8833333333333,0.304381766046181
N2,Etoposide,250,q75.TOF,13.8833333333333,0.615354748540869
CB4856,Etoposide,0,q75.TOF,77.6875,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,27.9375,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,11.6875,0
CB4856,Etoposide,125,q75.TOF,-78.5625,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-186.3125,0.615354748540869
N2,Etoposide,0,q75.TOF,-14.6166666666667,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-88.1166666666667,0.615354748540869
N2,Etoposide,500,q75.TOF,-208.116666666667,0.335380329410988
JU258,Etoposide,0,q75.TOF,-229.140625,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-95.890625,0.615354748540869
CB4856,Etoposide,0,q75.TOF,38.6875,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-195.3125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-277.0625,0.335380329410988
DL238,Etoposide,0,q75.TOF,-205.71875,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-148.21875,0.615354748540869
CB4856,Etoposide,0,q75.TOF,71.6875,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-193.8125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-287.0625,0.335380329410988
N2,Etoposide,0,q75.TOF,-225.116666666667,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-225.866666666667,0.615354748540869
DL238,Etoposide,0,q75.TOF,47.28125,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-14.71875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-188.71875,0.335380329410988
JU258,Etoposide,0,q75.TOF,-203.640625,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-146.890625,0.615354748540869
DL238,Etoposide,0,q75.TOF,68.28125,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-49.71875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-163.46875,0.335380329410988
CB4856,Etoposide,0,q75.TOF,-280.3125,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-219.3125,0.615354748540869
JU258,Etoposide,0,q75.TOF,89.359375,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-29.640625,0.615354748540869
JU258,Etoposide,500,q75.TOF,-209.140625,0.335380329410988
N2,Etoposide,0,q75.TOF,-258.866666666667,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-131.116666666667,0.615354748540869
JU258,Etoposide,0,q75.TOF,64.359375,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-9.390625,0.615354748540869
JU258,Etoposide,500,q75.TOF,-162.140625,0.335380329410988
DL238,Etoposide,0,q75.TOF,-179.96875,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-200.21875,0.615354748540869
N2,Etoposide,0,q75.TOF,79.1333333333333,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,11.1333333333333,0.615354748540869
N2,Etoposide,500,q75.TOF,-192.616666666667,0.335380329410988
CB4856,Etoposide,0,q75.TOF,-285.3125,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-304.3125,0.615354748540869
N2,Teniposide,0,q75.TOF,-79.5,0
N2,Teniposide,31,q75.TOF,-91.75,0
N2,Teniposide,62,q75.TOF,-45.75,0
N2,Teniposide,125,q75.TOF,-126.5,0.7251069756842
N2,Teniposide,250,q75.TOF,-310.75,0.956718850518284
JU258,Teniposide,0,q75.TOF,-21.1875,0
JU258,Teniposide,31,q75.TOF,13.8125,0
JU258,Teniposide,62,q75.TOF,-19.6875,0
JU258,Teniposide,125,q75.TOF,-72.1875,0.7251069756842
JU258,Teniposide,250,q75.TOF,-278.1875,0.956718850518284
CB4856,Teniposide,0,q75.TOF,-4.5,0
CB4856,Teniposide,31,q75.TOF,-23,0
CB4856,Teniposide,62,q75.TOF,-46,0
CB4856,Teniposide,125,q75.TOF,-311.25,0.7251069756842
CB4856,Teniposide,250,q75.TOF,-330,0.956718850518284
DL238,Teniposide,0,q75.TOF,1.4375,0
DL238,Teniposide,31,q75.TOF,-45.3125,0
DL238,Teniposide,62,q75.TOF,-27.8125,0
DL238,Teniposide,125,q75.TOF,-42.8125,0.7251069756842
DL238,Teniposide,250,q75.TOF,-137.3125,0.956718850518284
CB4856,Teniposide,0,q75.TOF,23,0
CB4856,Teniposide,31,q75.TOF,51,0
CB4856,Teniposide,62,q75.TOF,-37.25,0
CB4856,Teniposide,125,q75.TOF,-316.75,0.7251069756842
CB4856,Teniposide,250,q75.TOF,-362.5,0.956718850518284
N2,Teniposide,0,q75.TOF,35.75,0
N2,Teniposide,31,q75.TOF,19.25,0
N2,Teniposide,62,q75.TOF,42.75,0
N2,Teniposide,125,q75.TOF,-153.5,0.7251069756842
N2,Teniposide,250,q75.TOF,-313.5,0.956718850518284
DL238,Teniposide,0,q75.TOF,-11.8125,0
DL238,Teniposide,31,q75.TOF,-39.3125,0
DL238,Teniposide,62,q75.TOF,-0.8125,0
DL238,Teniposide,125,q75.TOF,-51.8125,0.7251069756842
DL238,Teniposide,250,q75.TOF,-153.0625,0.956718850518284
JU258,Teniposide,0,q75.TOF,-22.9375,0
JU258,Teniposide,31,q75.TOF,-15.6875,0
JU258,Teniposide,62,q75.TOF,99.5625,0
JU258,Teniposide,125,q75.TOF,-91.6875,0.7251069756842
JU258,Teniposide,250,q75.TOF,-275.1875,0.956718850518284
DL238,Teniposide,0,q75.TOF,9.4375,0
DL238,Teniposide,31,q75.TOF,-39.8125,0
DL238,Teniposide,62,q75.TOF,-12.3125,0
DL238,Teniposide,125,q75.TOF,-64.5625,0.7251069756842
DL238,Teniposide,250,q75.TOF,-155.8125,0.956718850518284
CB4856,Teniposide,0,q75.TOF,-62.5,0
CB4856,Teniposide,31,q75.TOF,-6,0
CB4856,Teniposide,62,q75.TOF,-23,0
CB4856,Teniposide,125,q75.TOF,-266,0.7251069756842
CB4856,Teniposide,250,q75.TOF,-370.5,0.956718850518284
JU258,Teniposide,0,q75.TOF,7.3125,0
JU258,Teniposide,31,q75.TOF,6.0625,0
JU258,Teniposide,62,q75.TOF,-33.1875,0
JU258,Teniposide,125,q75.TOF,-295.1875,0.7251069756842
JU258,Teniposide,250,q75.TOF,-308.6875,0.956718850518284
N2,Teniposide,0,q75.TOF,4.25,0
N2,Teniposide,31,q75.TOF,-10.25,0
N2,Teniposide,62,q75.TOF,-1.5,0
N2,Teniposide,125,q75.TOF,-162,0.7251069756842
N2,Teniposide,250,q75.TOF,-297.5,0.956718850518284
JU258,Teniposide,0,q75.TOF,36.8125,0
JU258,Teniposide,31,q75.TOF,-15.6875,0
JU258,Teniposide,62,q75.TOF,-45.1875,0
JU258,Teniposide,125,q75.TOF,-76.6875,0.7251069756842
JU258,Teniposide,250,q75.TOF,-258.1875,0.956718850518284
DL238,Teniposide,0,q75.TOF,0.9375,0
DL238,Teniposide,31,q75.TOF,-26.8125,0
DL238,Teniposide,62,q75.TOF,-46.8125,0
DL238,Teniposide,125,q75.TOF,-39.8125,0.7251069756842
DL238,Teniposide,250,q75.TOF,-155.8125,0.956718850518284
N2,Teniposide,0,q75.TOF,39.5,0
N2,Teniposide,31,q75.TOF,2.25,0
N2,Teniposide,62,q75.TOF,-22.75,0
N2,Teniposide,125,q75.TOF,-225.25,0.7251069756842
N2,Teniposide,250,q75.TOF,-286.75,0.956718850518284
CB4856,Teniposide,0,q75.TOF,44,0
CB4856,Teniposide,31,q75.TOF,-104,0
CB4856,Teniposide,62,q75.TOF,-72.5,0
CB4856,Teniposide,125,q75.TOF,-278,0.7251069756842
CB4856,Teniposide,250,q75.TOF,-320.75,0.956718850518284
N2,XK469,0,q75.TOF,-117.854166666667,2.47066616794178e-32
N2,XK469,31,q75.TOF,-31.8541666666667,0.197419420480079
N2,XK469,125,q75.TOF,-100.854166666667,0
N2,XK469,250,q75.TOF,-94.8541666666667,0.166602813220112
JU258,XK469,0,q75.TOF,4.27272727272725,2.47066616794178e-32
JU258,XK469,31,q75.TOF,79.2727272727273,0.197419420480079
JU258,XK469,62,q75.TOF,11.7727272727273,0.0983273990636307
JU258,XK469,125,q75.TOF,49.7727272727273,0
JU258,XK469,250,q75.TOF,73.2727272727273,0.166602813220112
CB4856,XK469,0,q75.TOF,42.4375,2.47066616794178e-32
CB4856,XK469,31,q75.TOF,39.9375,0.197419420480079
CB4856,XK469,62,q75.TOF,43.6875,0.0983273990636307
CB4856,XK469,125,q75.TOF,-4.0625,0
CB4856,XK469,250,q75.TOF,-77.0625,0.166602813220112
DL238,XK469,0,q75.TOF,1.27083333333331,2.47066616794178e-32
DL238,XK469,31,q75.TOF,-8.72916666666669,0.197419420480079
DL238,XK469,62,q75.TOF,53.7708333333333,0.0983273990636307
DL238,XK469,125,q75.TOF,14.2708333333333,0
DL238,XK469,250,q75.TOF,-71.7291666666667,0.166602813220112
CB4856,XK469,0,q75.TOF,48.9375,2.47066616794178e-32
CB4856,XK469,31,q75.TOF,30.6875,0.197419420480079
CB4856,XK469,62,q75.TOF,33.9375,0.0983273990636307
CB4856,XK469,125,q75.TOF,30.9375,0
CB4856,XK469,250,q75.TOF,-52.0625,0.166602813220112
N2,XK469,0,q75.TOF,75.8958333333333,2.47066616794178e-32
N2,XK469,31,q75.TOF,62.3958333333333,0.197419420480079
N2,XK469,62,q75.TOF,35.8958333333333,0.0983273990636307
N2,XK469,125,q75.TOF,106.645833333333,0
N2,XK469,250,q75.TOF,58.6458333333333,0.166602813220112
DL238,XK469,0,q75.TOF,78.2708333333333,2.47066616794178e-32
DL238,XK469,31,q75.TOF,26.7708333333333,0.197419420480079
DL238,XK469,62,q75.TOF,44.2708333333333,0.0983273990636307
DL238,XK469,125,q75.TOF,54.2708333333333,0
DL238,XK469,250,q75.TOF,-20.7291666666667,0.166602813220112
JU258,XK469,31,q75.TOF,107.272727272727,0.197419420480079
JU258,XK469,62,q75.TOF,138.272727272727,0.0983273990636307
JU258,XK469,125,q75.TOF,60.5227272727273,0
JU258,XK469,250,q75.TOF,4.77272727272725,0.166602813220112
DL238,XK469,0,q75.TOF,21.2708333333333,2.47066616794178e-32
DL238,XK469,31,q75.TOF,39.7708333333333,0.197419420480079
DL238,XK469,62,q75.TOF,51.7708333333333,0.0983273990636307
DL238,XK469,125,q75.TOF,103.270833333333,0
DL238,XK469,250,q75.TOF,-22.7291666666667,0.166602813220112
CB4856,XK469,0,q75.TOF,-40.0625,2.47066616794178e-32
CB4856,XK469,31,q75.TOF,-29.0625,0.197419420480079
CB4856,XK469,62,q75.TOF,-85.5625,0.0983273990636307
CB4856,XK469,125,q75.TOF,-11.0625,0
CB4856,XK469,250,q75.TOF,-72.0625,0.166602813220112
JU258,XK469,0,q75.TOF,31.7727272727273,2.47066616794178e-32
JU258,XK469,31,q75.TOF,35.7727272727273,0.197419420480079
JU258,XK469,62,q75.TOF,50.7727272727273,0.0983273990636307
JU258,XK469,250,q75.TOF,30.7727272727273,0.166602813220112
N2,XK469,0,q75.TOF,64.6458333333333,2.47066616794178e-32
N2,XK469,31,q75.TOF,62.6458333333333,0.197419420480079
N2,XK469,62,q75.TOF,44.3958333333333,0.0983273990636307
N2,XK469,125,q75.TOF,84.3958333333333,0
N2,XK469,250,q75.TOF,11.8958333333333,0.166602813220112
JU258,XK469,0,q75.TOF,39.0227272727273,2.47066616794178e-32
JU258,XK469,31,q75.TOF,23.7727272727273,0.197419420480079
JU258,XK469,62,q75.TOF,65.0227272727273,0.0983273990636307
JU258,XK469,125,q75.TOF,3.02272727272725,0
JU258,XK469,250,q75.TOF,-2.47727272727275,0.166602813220112
DL238,XK469,0,q75.TOF,82.5208333333333,2.47066616794178e-32
DL238,XK469,31,q75.TOF,-35.2291666666667,0.197419420480079
DL238,XK469,62,q75.TOF,-14.7291666666667,0.0983273990636307
DL238,XK469,125,q75.TOF,-14.7291666666667,0
DL238,XK469,250,q75.TOF,-43.2291666666667,0.166602813220112
N2,XK469,0,q75.TOF,28.6458333333333,2.47066616794178e-32
N2,XK469,31,q75.TOF,25.3958333333333,0.197419420480079
N2,XK469,62,q75.TOF,32.3958333333333,0.0983273990636307
N2,XK469,125,q75.TOF,-5.10416666666669,0
N2,XK469,250,q75.TOF,-62.8541666666667,0.166602813220112
CB4856,XK469,0,q75.TOF,52.6875,2.47066616794178e-32
CB4856,XK469,31,q75.TOF,-73.5625,0.197419420480079
CB4856,XK469,62,q75.TOF,17.9375,0.0983273990636307
CB4856,XK469,125,q75.TOF,-32.5625,0
CB4856,XK469,250,q75.TOF,-1.0625,0.166602813220112
N2,XK469,0,q75.TOF,51.1458333333333,2.47066616794178e-32
N2,XK469,250,q75.TOF,-8.35416666666669,0.166602813220112
N2,XK469,500,q75.TOF,-133.604166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-191.354166666667,0.899821825876178
JU258,XK469,0,q75.TOF,94.7727272727273,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-5.97727272727275,0.166602813220112
JU258,XK469,500,q75.TOF,-81.7272727272727,0.467529251418624
JU258,XK469,1000,q75.TOF,-182.227272727273,0.899821825876178
CB4856,XK469,0,q75.TOF,28.9375,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-6.8125,0.166602813220112
CB4856,XK469,500,q75.TOF,-81.8125,0.467529251418624
CB4856,XK469,1000,q75.TOF,-332.3125,0.899821825876178
DL238,XK469,0,q75.TOF,-31.7291666666667,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-75.9791666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-202.729166666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-232.229166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,61.6875,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-44.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-197.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-338.5625,0.899821825876178
N2,XK469,0,q75.TOF,85.1458333333333,2.47066616794178e-32
N2,XK469,250,q75.TOF,-127.854166666667,0.166602813220112
N2,XK469,500,q75.TOF,-235.854166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-258.354166666667,0.899821825876178
DL238,XK469,0,q75.TOF,-5.72916666666669,2.47066616794178e-32
DL238,XK469,250,q75.TOF,15.7708333333333,0.166602813220112
DL238,XK469,500,q75.TOF,-56.7291666666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-206.229166666667,0.899821825876178
JU258,XK469,0,q75.TOF,46.7727272727273,2.47066616794178e-32
JU258,XK469,250,q75.TOF,15.7727272727273,0.166602813220112
JU258,XK469,500,q75.TOF,-143.227272727273,0.467529251418624
JU258,XK469,1000,q75.TOF,-126.227272727273,0.899821825876178
DL238,XK469,0,q75.TOF,27.5208333333333,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-21.9791666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-43.2291666666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-203.979166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,-31.0625,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-259.5625,0.166602813220112
CB4856,XK469,500,q75.TOF,-337.3125,0.467529251418624
CB4856,XK469,1000,q75.TOF,-349.3125,0.899821825876178
JU258,XK469,0,q75.TOF,-65.7272727272727,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-23.4772727272727,0.166602813220112
JU258,XK469,500,q75.TOF,-9.72727272727275,0.467529251418624
JU258,XK469,1000,q75.TOF,-205.727272727273,0.899821825876178
N2,XK469,0,q75.TOF,23.1458333333333,2.47066616794178e-32
N2,XK469,250,q75.TOF,-69.8541666666667,0.166602813220112
N2,XK469,500,q75.TOF,-254.104166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-240.854166666667,0.899821825876178
JU258,XK469,0,q75.TOF,-5.72727272727275,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-24.2272727272727,0.166602813220112
JU258,XK469,500,q75.TOF,-99.7272727272727,0.467529251418624
JU258,XK469,1000,q75.TOF,-149.727272727273,0.899821825876178
DL238,XK469,0,q75.TOF,-31.7291666666667,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-54.2291666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-196.229166666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-207.229166666667,0.899821825876178
N2,XK469,0,q75.TOF,77.6458333333333,2.47066616794178e-32
N2,XK469,250,q75.TOF,-4.60416666666669,0.166602813220112
N2,XK469,500,q75.TOF,-149.854166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-193.104166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,-48.8125,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-120.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-333.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-331.3125,0.899821825876178